location,state,available,base_days,shipping_cost,zones 
Kuala Lumpur,Wilayah Persekutuan,TRUE,1,20,"KLCC, Bukit Bintang, Cheras, Kepong, Bangsar, Damansara, Setapak, Wangsa Maju"
Putrajaya,Wilayah Persekutuan,TRUE,1,20,"Presint 1, Presint 2, Presint 3, Presint 4, Presint 5"
George Town,Penang,TRUE,2,30,"George Town, Jelutong, Air Itam, Batu Lanchang"
Butterworth,Penang,TRUE,2,30,"Butterworth, Bagan Ajam, Bagan Luar, Raja Uda"
Bukit Mertajam,Penang,TRUE,2,30,"Bukit Mertajam, Alma, Juru, Machang Bubok"
Bayan Lepas,Penang,TRUE,2,30,"Bayan Lepas, Batu Maung, Sungai Nibong, Queensbay"
Shah Alam,Selangor,TRUE,1,20,"Seksyen 1-30, Kota Kemuning, Bukit Jelutong"
Petaling Jaya,Selangor,TRUE,1,20,"SS1-SS26, Damansara, Kelana Jaya, Taman Megah"
Subang Jaya,Selangor,TRUE,1,20,"USJ 1-27, SS12-SS19, Putra Heights, Taipan"
Klang,Selangor,TRUE,1,20,"Klang North, Klang South, Port Klang, Taman Sentosa"
Cyberjaya,Selangor,TRUE,1,20,"Cyberjaya CBD, Cyber 1-12, Putrajaya"
Puchong,Selangor,TRUE,1,20,"Puchong Jaya, Bandar Puchong, Puchong Prima, Taman Kinrara"
Johor Bahru,Johor,TRUE,3,35,"JB City, Taman Century, Stulang, Danga Bay"
Iskandar Puteri,Johor,TRUE,3,35,"Kota Iskandar, Puteri Harbour, Medini, Educity"
Batu Pahat,Johor,TRUE,3,40,"Batu Pahat Town, Taman Maju, Parit Raja, Yong Peng"
Muar,Johor,TRUE,3,40,"Muar Town, Parit Jawa, Bukit Pasir, Sungai Abong"
Kluang,Johor,TRUE,3,40,"Kluang Town, Taman Kluang Baru, Taman Bersatu"
Kota Kinabalu,Sabah,TRUE,5,80,"KK City, Likas, Luyang, Inanam, Penampang"
Sandakan,Sabah,TRUE,5,80,"Sandakan Town, Batu Sapi, Elopura, Taman Tyng"
Tawau,Sabah,TRUE,5,80,"Tawau Town, Sabindo, Batu 4, Batu 8"
Kuching,Sarawak,TRUE,5,80,"Kuching City, Petra Jaya, Padawan, Batu Kawa"
Sibu,Sarawak,TRUE,5,80,"Sibu Town, Bandar Sibu, Sentosa, Permai"
Miri,Sarawak,TRUE,5,80,"Miri City, Marina, Lutong, Taman Tunku"
Bintulu,Sarawak,TRUE,5,85,"Bintulu Town, Kidurong, Tanjung Kidurong, Samalaju"
Ipoh,Perak,TRUE,2,30,"Ipoh City, Menglembu, Tambun, Bercham, Greentown"
Taiping,Perak,TRUE,2,35,"Taiping Town, Kamunting, Aulong, Pokok Assam"
Teluk Intan,Perak,TRUE,2,35,"Teluk Intan Town, Jalan Changkat Jong, Batu 12"
Alor Setar,Kedah,TRUE,2,35,"Alor Setar City, Jitra, Anak Bukit, Kepala Batas"
Sungai Petani,Kedah,TRUE,2,35,"SP Town, Aman Jaya, Taman Ria, Tikam Batu"
Langkawi,Kedah,TRUE,3,60,"Kuah, Pantai Cenang, Pantai Tengah, Datai Bay"
Malacca City,Malacca,TRUE,2,25,"Bandar Hilir, Melaka Raya, Bukit Beruang, Ayer Keroh"
Kuantan,Pahang,TRUE,3,40,"Kuantan City, Beserah, Tanjung Lumpur, Indera Mahkota"
Kota Bharu,Kelantan,TRUE,3,40,"KB City, Wakaf Bharu, Kubang Kerian, Tunjong"
Kuala Terengganu,Terengganu,TRUE,3,40,"KT City, Kuala Nerus, Manir, Bukit Payong"
Seremban,Negeri Sembilan,TRUE,2,30,"Seremban City, Ampangan, Senawang, Nilai"
Port Dickson,Negeri Sembilan,TRUE,2,35,"PD Town, Teluk Kemang, Lukut, Si Rusa"
Kangar,Perlis,TRUE,2,35,"Kangar Town, Arau, Padang Besar, Beseri"
