addon_id,addon_name,addon_category,suitable_use_case,recommended_for_build_type,trigger_gpu_tier,trigger_budget_range,price,priority,recommendation_section,stock,delivery_required,reason,benefit,upsell_message
A001,75Hz Monitor,monitor,gaming;general,budget gaming;home office build,low,2000-3000;2000-4000,399,medium,frequently_bought_next;complete_your_setup,18,TRUE,Entry-level PC buyers often need a basic external display.,Completes setup with affordable display output.,Add a 75Hz monitor to complete the setup without breaking budget.
A002,144Hz Gaming Monitor,monitor,gaming,balanced gaming;mid-range gaming,mid,3000-5000;4000-6000,599,high,frequently_bought_next;complete_your_setup,14,TRUE,Mid-range gaming GPU users often benefit from high refresh rate display.,Improves motion smoothness and competitive gaming experience.,"For a small upsell, unlock the performance of the gaming build with a 144Hz monitor."
A003,165Hz Gaming Monitor,monitor,gaming,high-end gaming,high,5000-8000;6000-9000,899,high,frequently_bought_next;complete_your_setup,9,TRUE,High-end GPU buyers can better experience performance on a faster monitor.,Improves high-FPS gaming visibility and responsiveness.,Pair the high-end GPU with a 165Hz monitor to make the performance visible.
A004,Color Accurate Monitor,monitor,workstation,editing workstation;professional workstation,mid;high,4000-6000;6000-9000,799,high,frequently_bought_next;complete_your_setup,8,TRUE,Creative users often require accurate colours for editing work.,Better visual accuracy for photo and video editing.,Upgrade the workstation experience with a colour-accurate display.
A005,Dual Monitor Setup,monitor,workstation,professional workstation,high,6000-9000,1299,medium,frequently_bought_next;complete_your_setup,5,TRUE,Professional users often improve productivity with extra screen space.,"Supports multitasking, editing timelines, and reference windows.",Increase productivity by offering a dual monitor setup.
A006,Mechanical Keyboard,keyboard,gaming;workstation,balanced gaming;mid-range gaming;editing workstation,mid,3000-5000;4000-6000,189,medium,frequently_bought_next;complete_your_setup,20,TRUE,Common add-on for gaming and productivity buyers.,Improves typing feel and gaming control.,Complete the PC package with a mechanical keyboard.
A007,Budget Gaming Keyboard,keyboard,gaming,budget gaming,low,2000-3000,99,medium,frequently_bought_next;complete_your_setup,25,TRUE,Budget gamers often add affordable gaming peripherals.,Provides gaming-style controls at low cost.,Add a budget gaming keyboard as a low-risk upsell.
A008,Wireless Keyboard Mouse Combo,keyboard,general,home office build,integrated,2000-4000,129,high,frequently_bought_next;complete_your_setup,30,TRUE,Home office users commonly require basic input devices.,Convenient wireless setup for office use.,Offer a wireless keyboard and mouse combo for immediate usability.
A009,Gaming Mouse,mouse,gaming,budget gaming;balanced gaming;high-end gaming,low;mid;high,2000-3000;3000-5000;5000-8000,129,medium,frequently_bought_next;complete_your_setup,22,TRUE,Gaming PC buyers commonly add a more responsive mouse.,Improves precision and comfort in games.,Complete the gaming setup with a dedicated gaming mouse.
A010,Large Gaming Mousepad,mousepad,gaming;general,budget gaming;balanced gaming;high-end gaming;home office build,low;mid;high;integrated,2000-3000;3000-5000;5000-8000;2000-4000,49,low,complete_your_setup,40,TRUE,Low-cost accessory that improves desk setup comfort.,Better mouse movement space and desk protection.,Add a mousepad as a simple low-cost basket-size increase.
